obs;Y;X1;X2;X3;X4;X5;X6
1kw2009;453459.6;65726.9;103279.9;684848.1;3185.61;41.5;38683
2kw2009;473881.7;68662.1;104294.7;683936.6;3081.48;34.6;38937
3kw2009;488333.4;68193;104778.8;687716.1;3113.86;38.7;48305
4kw2009;517303.6;71601.5;110888.6;705096.9;3243.6;45.2;50224
1kw2010;457778.6;57022.1;111135;699769.4;3316.38;34;51842
2kw2010;498933.2;57429.1;121574.5;738464.7;3197.85;44.4;56834
3kw2010;516159.2;66912.1;123028.3;746738.8;3203.08;33.9;62653
4kw2010;556859.8;68939.5;125320.4;769989.6;3438.21;38.2;63239
1kw2011;512781.6;62587.9;130824.6;779717.4;3466.33;44.3;59265
2kw2011;559785.5;72074.6;135901;811423.4;3366.11;44.2;62962
3kw2011;580272.4;70357.5;141245.7;856708.1;3416;32.3;63867
4kw2011;641462.4;72537.2;150767.7;880786.2;3586.75;44.2;62512
1kw2012;574194;63520.7;148982.8;879147.1;3646.09;36.3;54736
2kw2012;586393.9;78200.1;149816.9;898064.9;3496.82;31.6;56445
3kw2012;599722.3;72201.2;151014.7;903027.8;3510.22;37;59266
4kw2012;622916.5;73673.1;153604.2;901121.6;3690.3;48.1;60431
1kw2013;551403.9;61320.8;154296;909652.4;3740.05;37.1;52541
2kw2013;589811;72412.1;160105.7;929397.2;3612.51;44.4;56551
3kw2013;613536.5;70625.1;166689.4;936803;3651.72;34.1;61048
4kw2013;637842.8;74793.2;166787.7;937414.1;3823.32;43;62456
1kw2014;566408.9;66974.9;169383.6;957525.7;3895.31;35.6;53361
2kw2014;603335;69346.5;172461;975125.9;3739.97;44.3;54857
3kw2014;624859.3;72869.1;170499.6;994451.8;3781.14;33.7;59480
4kw2014;648361.5;74352.2;181127.4;1005640.5;3942.67;43;60122
1kw2015;592326;67825.3;185032.2;1032282.3;4054.89;44.4;50298
2kw2015;619042.2;69197.7;184231.3;1052500;3854.88;32.3;55622
3kw2015;639525.9;73022.7;184964.2;1069650.9;3895.33;37.4;58695
4kw2015;670043.7;79091;196608.1;1076373.7;4066.95;46.4;59705
1kw2016;604487;76818;194029.7;1079658.1;4181.49;37.4;49971
2kw2016;650213.2;74792.8;203332.3;1102113.8;4019.08;36.3;54154
3kw2016;650115;86995.7;195010.2;1110210.6;4055.04;38.3;58051
4kw2016;715465.6;76077.1;211105.6;1124645.6;4218.92;51.3;60347
1kw2017;675317;85246.5;221740.2;1133326.1;4353.55;40.5;54242
2kw2017;701455.8;91455.2;216268.8;1160246.6;4220.69;37.8;59758
3kw2017;707746.4;85560.9;216546.6;1174856.9;4255.59;45.9;62362
4kw2017;780538.4;88152.1;228063.9;1175788.5;4516.69;54.1;63139
1kw2018;706604.8;88469.2;227097.2;1192438.1;4622.84;44.6;61728
2kw2018;760002;93538.6;237232.1;1221192.5;4521.08;38.2;61751
3kw2018;766381.5;90854.3;236312;1240236.4;4580.2;47;62653
4kw2018;824043.6;107186;250682.9;1264561.3;4863.74;55.3;63128
1kw2019;754061.4;90286.5;254519.6;1286897.1;4950.94;47.4;59345
2kw2019;816745.3;101890.6;252738.1;1304431.4;4839.24;47.1;57805
3kw2019;812232;103850.8;252712.8;1333253.3;4931.59;51.2;58946
4kw2019;852476.9;104507.4;263620.9;1325100.5;5198.58;61.7;57648
